0,1,2,3,guid,datePublished
F41,A,3.0,50.0,US-0319596-A,1885-06-09T00:00:00Z
F41,A,3.0,50.0,US-0671062-A,1901-04-02T00:00:00Z
F41,A,3.0,50.0,US-0690799-A,1902-01-07T00:00:00Z
F41,A,3.0,50.0,US-0804506-A,1905-11-14T00:00:00Z
F41,A,3.0,50.0,US-0918951-A,1909-04-20T00:00:00Z
F41,A,3.0,50.0,US-0924224-A,1909-06-08T00:00:00Z
F41,A,3.0,50.0,US-0954543-A,1910-04-12T00:00:00Z
F41,A,3.0,50.0,US-1077166-A,1913-10-28T00:00:00Z
F41,A,3.0,50.0,US-1090515-A,1914-03-17T00:00:00Z
F41,A,3.0,50.0,US-1184065-A,1916-05-23T00:00:00Z
F41,A,3.0,50.0,US-1427079-A,1922-08-22T00:00:00Z
F41,A,3.0,50.0,US-1457477-A,1923-06-05T00:00:00Z
F41,A,3.0,50.0,US-4183282-A,1980-01-15T00:00:00Z
F41,A,3.0,50.0,US-4167890-A,1979-09-18T00:00:00Z
F41,A,3.0,50.0,US-4103587-A,1978-08-01T00:00:00Z
F41,A,3.0,50.0,US-4719841-A,1988-01-19T00:00:00Z
F41,A,3.0,50.0,US-7762174-B1,2010-07-27T00:00:00Z
F41,A,3.0,50.0,US-5517897-A,1996-05-21T00:00:00Z
F41,A,3.0,50.0,US-5284081-A,1994-02-08T00:00:00Z
F41,A,3.0,50.0,US-20210293497-A1,2021-09-23T00:00:00Z
F41,A,3.0,50.0,US-2069432-A,1937-02-02T00:00:00Z
F41,A,3.0,50.0,US-2091672-A,1937-08-31T00:00:00Z
F41,A,3.0,50.0,US-2129648-A,1938-09-13T00:00:00Z
F41,A,3.0,50.0,US-3220310-A,1965-11-30T00:00:00Z
F41,A,3.0,50.0,US-3630119-A,1971-12-28T00:00:00Z
F41,A,3.0,50.0,US-3698285-A,1972-10-17T00:00:00Z
F41,A,3.0,50.0,US-3732779-A,1973-05-15T00:00:00Z
F41,A,3.0,50.0,US-3736687-A,1973-06-05T00:00:00Z
F41,A,3.0,50.0,US-3748961-A,1973-07-31T00:00:00Z
F41,A,3.0,50.0,US-3783739-A,1974-01-08T00:00:00Z
