0,1,2,3,guid,datePublished
F41,A,9.0,77.0,US-1413694-A,1922-04-25 00:00:00+00:00
F41,A,9.0,77.0,US-4766800-A,1988-08-30 00:00:00+00:00
F41,A,9.0,77.0,US-4738183-A,1988-04-19 00:00:00+00:00
F41,A,9.0,77.0,US-4589325-A,1986-05-20 00:00:00+00:00
F41,A,9.0,77.0,US-4454799-A,1984-06-19 00:00:00+00:00
F41,A,9.0,77.0,US-4965951-A,1990-10-30 00:00:00+00:00
F41,A,9.0,77.0,US-4962604-A,1990-10-16 00:00:00+00:00
F41,A,9.0,77.0,US-4947572-A,1990-08-14 00:00:00+00:00
F41,A,9.0,77.0,US-3881395-A,1975-05-06 00:00:00+00:00
F41,A,9.0,77.0,US-4888898-A,1989-12-26 00:00:00+00:00
