0,1,2,3,guid,datePublished
F41,A,9.0,32.0,US-0703859-A,
F41,A,9.0,32.0,US-0951999-A,
F41,A,9.0,32.0,US-1038555-A,
F41,A,9.0,32.0,US-1091640-A,
F41,A,9.0,32.0,US-1312106-A,
F41,A,9.0,32.0,US-1314734-A,
F41,A,9.0,32.0,US-1431059-A,
F41,A,9.0,32.0,US-1808847-A,
F41,A,9.0,32.0,US-1809222-A,
F41,A,9.0,32.0,US-2504994-A,1950-04-25
F41,A,9.0,32.0,US-2503575-A,1950-04-11
F41,A,9.0,32.0,US-2486878-A,
F41,A,9.0,32.0,US-2974569-A,1961-03-14
F41,A,9.0,32.0,US-2797622-A,1957-07-02
F41,A,9.0,32.0,US-2675741-A,1954-04-20
F41,A,9.0,32.0,US-2669160-A,1954-02-16
F41,A,9.0,32.0,US-2599555-A,1952-06-10
F41,A,9.0,32.0,US-2599546-A,1952-06-10
F41,A,9.0,32.0,US-2519947-A,1950-08-22
F41,A,9.0,32.0,US-4191088-A,1980-03-04
F41,A,9.0,32.0,US-4117760-A,1978-10-03
F41,A,9.0,32.0,US-3973467-A,1976-08-10
F41,A,9.0,32.0,US-4676138-A,1987-06-30
F41,A,9.0,32.0,US-4297939-A,1981-11-03
F41,A,9.0,32.0,US-4280392-A,1981-07-28
F41,A,9.0,32.0,US-5227578-A,1993-07-13
F41,A,9.0,32.0,US-2047596-A,
F41,A,9.0,32.0,US-2392012-A,
F41,A,9.0,32.0,US-2397501-A,
F41,A,9.0,32.0,US-2405207-A,
F41,A,9.0,32.0,US-2409461-A,
F41,A,9.0,32.0,US-2417080-A,
F41,A,9.0,32.0,US-3182555-A,1965-05-11
F41,A,9.0,32.0,US-3198075-A,1965-08-03
F41,A,9.0,32.0,US-3221603-A,1965-12-07
F41,A,9.0,32.0,US-3234850-A,1966-02-15
F41,A,9.0,32.0,US-3630118-A,1971-12-28
F41,A,9.0,32.0,US-3690216-A,1972-09-12
F41,A,9.0,32.0,US-3955469-A,1976-05-11
F41,A,9.0,32.0,US-4889031-A,1989-12-26
