0,1,2,3,guid,datePublished
F41,B,9.0,87.0,US-10077966-B2,2018-09-18T00:00:00Z
F41,B,9.0,87.0,US-20150231429-A1,2015-08-20T00:00:00Z
F41,B,9.0,87.0,US-20150182768-A1,2015-07-02T00:00:00Z
F41,B,9.0,87.0,US-20180080734-A1,2018-03-22T00:00:00Z
F41,B,9.0,87.0,US-5785038-A,1998-07-28T00:00:00Z
F41,B,9.0,87.0,US-20100314139-A1,2010-12-16T00:00:00Z
F41,B,9.0,87.0,US-20130068789-A1,2013-03-21T00:00:00Z
F41,B,9.0,87.0,US-20140018769-A1,2014-01-16T00:00:00Z
F41,B,9.0,87.0,US-20200109934-A1,2020-04-09T00:00:00Z
F41,B,9.0,87.0,US-20210310781-A1,2021-10-07T00:00:00Z
F41,B,9.0,87.0,US-3841526-A,1974-10-15T00:00:00Z
F41,B,9.0,87.0,US-8627983-B2,2014-01-14T00:00:00Z
F41,B,9.0,87.0,US-8825229-B2,2014-09-02T00:00:00Z
F41,B,9.0,87.0,US-9776027-B2,2017-10-03T00:00:00Z
