0,1,2,3,guid,datePublished
F41,G,5.0,20.0,US-1445191-A,1923-02-13T00:00:00Z
F41,G,5.0,20.0,US-1450585-A,1923-04-03T00:00:00Z
F41,G,5.0,20.0,US-1453104-A,1923-04-24T00:00:00Z
F41,G,5.0,20.0,US-1557545-A,1925-10-20T00:00:00Z
F41,G,5.0,20.0,US-1584182-A,1926-05-11T00:00:00Z
F41,G,5.0,20.0,US-20040262388-A1,2004-12-30T00:00:00Z
F41,G,5.0,20.0,US-2969184-A,1961-01-24T00:00:00Z
F41,G,5.0,20.0,US-2949824-A,1960-08-23T00:00:00Z
F41,G,5.0,20.0,US-2922572-A,1960-01-26T00:00:00Z
F41,G,5.0,20.0,US-2803061-A,1957-08-20T00:00:00Z
F41,G,5.0,20.0,US-2658680-A,1953-11-10T00:00:00Z
F41,G,5.0,20.0,US-4553493-A,1985-11-19T00:00:00Z
F41,G,5.0,20.0,US-4541323-A,1985-09-17T00:00:00Z
F41,G,5.0,20.0,US-5072389-A,1991-12-10T00:00:00Z
F41,G,5.0,20.0,US-5038618-A,1991-08-13T00:00:00Z
F41,G,5.0,20.0,US-5305236-A,1994-04-19T00:00:00Z
F41,G,5.0,20.0,US-5191713-A,1993-03-09T00:00:00Z
F41,G,5.0,20.0,US-2413573-A,1946-12-31T00:00:00Z
F41,G,5.0,20.0,US-2476746-A,1949-07-19T00:00:00Z
F41,G,5.0,20.0,US-3737630-A,1973-06-05T00:00:00Z
F41,G,5.0,20.0,US-3853081-A,1974-12-10T00:00:00Z
F41,G,5.0,20.0,US-3875844-A,1975-04-08T00:00:00Z
F41,G,5.0,20.0,US-9523548-B2,2016-12-20T00:00:00Z
