0,1,2,3,guid,datePublished
F41,A,9.0,73.0,US-0053881-A,1866-04-10 00:00:00+00:00
F41,A,9.0,73.0,US-0162582-A,1875-04-27 00:00:00+00:00
F41,A,9.0,73.0,US-0312201-A,1885-02-10 00:00:00+00:00
F41,A,9.0,73.0,US-0390099-A,1888-09-25 00:00:00+00:00
F41,A,9.0,73.0,US-0551143-A,1895-12-10 00:00:00+00:00
F41,A,9.0,73.0,US-0669919-A,1901-03-12 00:00:00+00:00
F41,A,9.0,73.0,US-0691369-A,1902-01-21 00:00:00+00:00
F41,A,9.0,73.0,US-0817764-A,1906-04-17 00:00:00+00:00
F41,A,9.0,73.0,US-0947307-A,1910-01-25 00:00:00+00:00
F41,A,9.0,73.0,US-0947476-A,1910-01-25 00:00:00+00:00
F41,A,9.0,73.0,US-10082353-B1,2018-09-25 00:00:00+00:00
F41,A,9.0,73.0,US-10371475-B2,2019-08-06 00:00:00+00:00
F41,A,9.0,73.0,US-10739091-B2,2020-08-11 00:00:00+00:00
F41,A,9.0,73.0,US-1216785-A,1917-02-20 00:00:00+00:00
F41,A,9.0,73.0,US-1242191-A,1917-10-09 00:00:00+00:00
F41,A,9.0,73.0,US-1304274-A,1919-05-20 00:00:00+00:00
F41,A,9.0,73.0,US-1314013-A,1919-08-26 00:00:00+00:00
F41,A,9.0,73.0,US-1318080-A,1919-10-07 00:00:00+00:00
F41,A,9.0,73.0,US-1588187-A,1926-06-08 00:00:00+00:00
F41,A,9.0,73.0,US-1588888-A,1926-06-15 00:00:00+00:00
F41,A,9.0,73.0,US-1596178-A,1926-08-17 00:00:00+00:00
F41,A,9.0,73.0,US-1867513-A,1932-07-12 00:00:00+00:00
F41,A,9.0,73.0,US-20030075038-A1,2003-04-24 00:00:00+00:00
F41,A,9.0,73.0,US-20040020093-A1,2004-02-05 00:00:00+00:00
F41,A,9.0,73.0,US-20040237952-A1,2004-12-02 00:00:00+00:00
F41,A,9.0,73.0,US-20150233667-A1,2015-08-20 00:00:00+00:00
F41,A,9.0,73.0,US-20180003456-A1,2018-01-04 00:00:00+00:00
F41,A,9.0,73.0,US-20180003455-A1,2018-01-04 00:00:00+00:00
F41,A,9.0,73.0,US-2506409-A,1950-05-02 00:00:00+00:00
F41,A,9.0,73.0,US-4207797-A,1980-06-17 00:00:00+00:00
F41,A,9.0,73.0,US-4138923-A,1979-02-13 00:00:00+00:00
F41,A,9.0,73.0,US-4121365-A,1978-10-24 00:00:00+00:00
F41,A,9.0,73.0,US-3991501-A,1976-11-16 00:00:00+00:00
F41,A,9.0,73.0,US-4689907-A,1987-09-01 00:00:00+00:00
F41,A,9.0,73.0,US-4658700-A,1987-04-21 00:00:00+00:00
F41,A,9.0,73.0,US-4487103-A,1984-12-11 00:00:00+00:00
F41,A,9.0,73.0,US-4413546-A,1983-11-08 00:00:00+00:00
F41,A,9.0,73.0,US-4332097-A,1982-06-01 00:00:00+00:00
F41,A,9.0,73.0,US-5675109-A,1997-10-07 00:00:00+00:00
F41,A,9.0,73.0,US-5600083-A,1997-02-04 00:00:00+00:00
F41,A,9.0,73.0,US-5456153-A,1995-10-10 00:00:00+00:00
F41,A,9.0,73.0,US-5398590-A,1995-03-21 00:00:00+00:00
F41,A,9.0,73.0,US-7380361-B2,2008-06-03 00:00:00+00:00
F41,A,9.0,73.0,US-6834608-B1,2004-12-28 00:00:00+00:00
F41,A,9.0,73.0,US-6681678-B2,2004-01-27 00:00:00+00:00
F41,A,9.0,73.0,US-6327953-B1,2001-12-11 00:00:00+00:00
F41,A,9.0,73.0,US-20090056690-A1,2009-03-05 00:00:00+00:00
F41,A,9.0,73.0,US-20090139507-A1,2009-06-04 00:00:00+00:00
F41,A,9.0,73.0,US-20110041823-A1,2011-02-24 00:00:00+00:00
F41,A,9.0,73.0,US-2131412-A,1938-09-27 00:00:00+00:00
F41,A,9.0,73.0,US-2139691-A,1938-12-13 00:00:00+00:00
F41,A,9.0,73.0,US-2311497-A,1943-02-16 00:00:00+00:00
F41,A,9.0,73.0,US-2321720-A,1943-06-15 00:00:00+00:00
F41,A,9.0,73.0,US-2338984-A,1944-01-11 00:00:00+00:00
F41,A,9.0,73.0,US-2341869-A,1944-02-15 00:00:00+00:00
F41,A,9.0,73.0,US-2394606-A,1946-02-12 00:00:00+00:00
F41,A,9.0,73.0,US-3239959-A,1966-03-15 00:00:00+00:00
F41,A,9.0,73.0,US-3954042-A,1976-05-04 00:00:00+00:00
F41,A,9.0,73.0,US-7950381-B2,2011-05-31 00:00:00+00:00
F41,A,9.0,73.0,US-8839706-B1,2014-09-23 00:00:00+00:00
F41,A,9.0,73.0,US-9097476-B2,2015-08-04 00:00:00+00:00
F41,A,9.0,73.0,US-9151554-B2,2015-10-06 00:00:00+00:00
F41,A,9.0,73.0,US-9927194-B2,2018-03-27 00:00:00+00:00
F41,A,9.0,73.0,US-9939216-B2,2018-04-10 00:00:00+00:00
F41,A,9.0,73.0,US-9939217-B2,2018-04-10 00:00:00+00:00
