0,1,2,3,guid,datePublished
F41,A,21.0,2.0,US-0003685-A,1844-07-30 00:00:00+00:00
F41,A,21.0,2.0,US-0004960-A,1847-02-05 00:00:00+00:00
F41,A,21.0,2.0,US-0006090-A,1849-02-06 00:00:00+00:00
F41,A,21.0,2.0,US-0006612-A,1849-07-31 00:00:00+00:00
F41,A,21.0,2.0,US-0008762-A,1852-02-24 00:00:00+00:00
F41,A,21.0,2.0,US-0013851-A,1855-11-27 00:00:00+00:00
F41,A,21.0,2.0,US-0013927-A,1855-12-11 00:00:00+00:00
F41,A,21.0,2.0,US-0046506-A,1865-02-21 00:00:00+00:00
F41,A,21.0,2.0,US-0047740-A,1865-05-16 00:00:00+00:00
F41,A,21.0,2.0,US-0055193-A,1866-05-29 00:00:00+00:00
F41,A,21.0,2.0,US-0055609-A,1866-06-19 00:00:00+00:00
F41,A,21.0,2.0,US-0068509-A,1867-09-03 00:00:00+00:00
F41,A,21.0,2.0,US-0084525-A,1868-12-01 00:00:00+00:00
F41,A,21.0,2.0,US-0089965-A,1869-05-11 00:00:00+00:00
F41,A,21.0,2.0,US-0091864-A,1869-06-29 00:00:00+00:00
F41,A,21.0,2.0,US-0163149-A,1875-05-11 00:00:00+00:00
F41,A,21.0,2.0,US-0168346-A,1875-10-05 00:00:00+00:00
F41,A,21.0,2.0,US-0172606-A,1876-01-25 00:00:00+00:00
F41,A,21.0,2.0,US-0186308-A,1877-01-16 00:00:00+00:00
F41,A,21.0,2.0,US-0196695-A,1877-10-30 00:00:00+00:00
F41,A,21.0,2.0,US-0269100-A,1882-12-12 00:00:00+00:00
F41,A,21.0,2.0,US-0269936-A,1883-01-02 00:00:00+00:00
F41,A,21.0,2.0,US-0271561-A,1883-01-30 00:00:00+00:00
F41,A,21.0,2.0,US-0272900-A,1883-02-27 00:00:00+00:00
F41,A,21.0,2.0,US-0277634-A,1883-05-15 00:00:00+00:00
F41,A,21.0,2.0,US-0279636-A,1883-06-19 00:00:00+00:00
F41,A,21.0,2.0,US-0282548-A,1883-08-07 00:00:00+00:00
F41,A,21.0,2.0,US-0296281-A,1884-04-01 00:00:00+00:00
F41,A,21.0,2.0,US-0301233-A,1884-07-01 00:00:00+00:00
F41,A,21.0,2.0,US-0303983-A,1884-08-26 00:00:00+00:00
F41,A,21.0,2.0,US-0308399-A,1884-11-25 00:00:00+00:00
F41,A,21.0,2.0,US-0403684-A,1889-05-21 00:00:00+00:00
F41,A,21.0,2.0,US-0412363-A,1889-10-08 00:00:00+00:00
F41,A,21.0,2.0,US-0417800-A,1889-12-24 00:00:00+00:00
F41,A,21.0,2.0,US-0421314-A,1890-02-11 00:00:00+00:00
F41,A,21.0,2.0,US-0431270-A,1890-07-01 00:00:00+00:00
F41,A,21.0,2.0,US-0521911-A,1894-06-26 00:00:00+00:00
F41,A,21.0,2.0,US-0541507-A,1895-06-25 00:00:00+00:00
F41,A,21.0,2.0,US-0544914-A,1895-08-20 00:00:00+00:00
F41,A,21.0,2.0,US-0566679-A,1896-08-25 00:00:00+00:00
F41,A,21.0,2.0,US-0568914-A,1896-10-06 00:00:00+00:00
F41,A,21.0,2.0,US-0664848-A,1901-01-01 00:00:00+00:00
F41,A,21.0,2.0,US-0671879-A,1901-04-09 00:00:00+00:00
F41,A,21.0,2.0,US-0676649-A,1901-06-18 00:00:00+00:00
F41,A,21.0,2.0,US-0689413-A,1901-12-24 00:00:00+00:00
F41,A,21.0,2.0,US-0690066-A,1901-12-31 00:00:00+00:00
F41,A,21.0,2.0,US-0704962-A,1902-07-15 00:00:00+00:00
F41,A,21.0,2.0,US-0805777-A,1905-11-28 00:00:00+00:00
F41,A,21.0,2.0,US-0821331-A,1906-05-22 00:00:00+00:00
F41,A,21.0,2.0,US-0958220-A,1910-05-17 00:00:00+00:00
F41,A,21.0,2.0,US-10113824-B2,2018-10-30 00:00:00+00:00
F41,A,21.0,2.0,US-10124909-B2,2018-11-13 00:00:00+00:00
F41,A,21.0,2.0,US-10633719-B1,2020-04-28 00:00:00+00:00
F41,A,21.0,2.0,US-10703506-B2,2020-07-07 00:00:00+00:00
F41,A,21.0,2.0,US-1089079-A,1914-03-03 00:00:00+00:00
F41,A,21.0,2.0,US-1092763-A,1914-04-07 00:00:00+00:00
F41,A,21.0,2.0,US-11385013-B2,2022-07-12 00:00:00+00:00
F41,A,21.0,2.0,US-11578941-B2,2023-02-14 00:00:00+00:00
F41,A,21.0,2.0,US-1242719-A,1917-10-09 00:00:00+00:00
F41,A,21.0,2.0,US-1244719-A,1917-10-30 00:00:00+00:00
F41,A,21.0,2.0,US-1321883-A,1919-11-18 00:00:00+00:00
F41,A,21.0,2.0,US-1401010-A,1921-12-20 00:00:00+00:00
F41,A,21.0,2.0,US-1428611-A,1922-09-12 00:00:00+00:00
F41,A,21.0,2.0,US-1628896-A,1927-05-17 00:00:00+00:00
