0,1,2,3,4
F41,H,11.0,30.0,US-10168126-B2
F41,H,11.0,30.0,US-10247525-B2
F41,H,11.0,30.0,US-11060826-B1
F41,H,11.0,30.0,US-1190257-A
F41,H,11.0,30.0,US-20040035285-A1
F41,H,11.0,30.0,US-20160018195-A1
F41,H,11.0,30.0,US-2489349-A
F41,H,11.0,30.0,US-4813698-A
F41,H,11.0,30.0,US-4723473-A
F41,H,11.0,30.0,US-4693164-A
F41,H,11.0,30.0,US-5786542-A
F41,H,11.0,30.0,US-5313868-A
F41,H,11.0,30.0,US-6915728-B2
F41,H,11.0,30.0,US-20080092725-A1
F41,H,11.0,30.0,US-20110048217-A1
F41,H,11.0,30.0,US-20110232468-A1
F41,H,11.0,30.0,US-20110233898-A1
F41,H,11.0,30.0,US-20110296976-A1
F41,H,11.0,30.0,US-20120186421-A1
F41,H,11.0,30.0,US-20130104727-A1
F41,H,11.0,30.0,US-20130327203-A1
F41,H,11.0,30.0,US-2397994-A
F41,H,11.0,30.0,US-2419308-A
F41,H,11.0,30.0,US-3771413-A
F41,H,11.0,30.0,US-4909128-A
F41,H,11.0,30.0,US-8424437-B2
F41,H,11.0,30.0,US-8490531-B2
F41,H,11.0,30.0,US-8522661-B2
F41,H,11.0,30.0,US-8540269-B2
F41,H,11.0,30.0,US-8763506-B2
F41,H,11.0,30.0,US-9027454-B2
F41,H,11.0,30.0,US-9303957-B2
F41,H,11.0,30.0,US-9739573-B2
