0,1,2,3,4
F41,B,9.0,0.0,US-0185945-A
F41,B,9.0,0.0,US-20030071077-A1
F41,B,9.0,0.0,US-20040077266-A1
F41,B,9.0,0.0,US-20050035147-A1
F41,B,9.0,0.0,US-20200027326-A1
F41,B,9.0,0.0,US-7712461-B1
F41,B,9.0,0.0,US-5461874-A
F41,B,9.0,0.0,US-7516961-B1
F41,B,9.0,0.0,US-7392877-B2
F41,B,9.0,0.0,US-7219817-B2
F41,B,9.0,0.0,US-7080757-B2
F41,B,9.0,0.0,US-6802756-B2
F41,B,9.0,0.0,US-20050115220-A1
F41,B,9.0,0.0,US-20060082066-A1
F41,B,9.0,0.0,US-20060207999-A1
F41,B,9.0,0.0,US-20130320038-A1
F41,B,9.0,0.0,US-3628342-A
F41,B,9.0,0.0,US-8074838-B1
