0,1,2,3,4
F41,A,9.0,38.0,US-10132581-B2
F41,A,9.0,38.0,US-10465999-B2
F41,A,9.0,38.0,US-1827031-A
F41,A,9.0,38.0,US-20020170421-A1
F41,A,9.0,38.0,US-20020170422-A1
F41,A,9.0,38.0,US-20200072568-A1
F41,A,9.0,38.0,US-20190339034-A1
F41,A,9.0,38.0,US-20150267980-A1
F41,A,9.0,38.0,US-20190195582-A1
F41,A,9.0,38.0,US-20180372443-A1
F41,A,9.0,38.0,US-2635377-A
F41,A,9.0,38.0,US-4686786-A
F41,A,9.0,38.0,US-5048393-A
F41,A,9.0,38.0,US-5941004-A
F41,A,9.0,38.0,US-5333530-A
F41,A,9.0,38.0,US-7299581-B2
F41,A,9.0,38.0,US-6769345-B2
F41,A,9.0,38.0,US-6530306-B1
F41,A,9.0,38.0,US-6223642-B1
F41,A,9.0,38.0,US-20070245888-A1
F41,A,9.0,38.0,US-20100313458-A1
F41,A,9.0,38.0,US-2278438-A
F41,A,9.0,38.0,US-3763741-A
F41,A,9.0,38.0,US-3808723-A
F41,A,9.0,38.0,US-7854083-B1
F41,A,9.0,38.0,US-RE28869-E
