0,1,2,3,4
F41,H,13.0,75.0,US-10156631-B2
F41,H,13.0,75.0,US-11035929-B2
F41,H,13.0,75.0,US-11525651-B2
F41,H,13.0,75.0,US-11578952-B2
F41,H,13.0,75.0,US-20190072644-A1
F41,H,13.0,75.0,US-20180313945-A1
F41,H,13.0,75.0,US-20170248687-A1
F41,H,13.0,75.0,US-20170192089-A1
F41,H,13.0,75.0,US-20080083320-A1
F41,H,13.0,75.0,US-20080134869-A1
F41,H,13.0,75.0,US-20100295717-A1
F41,H,13.0,75.0,US-20200278421-A1
F41,H,13.0,75.0,US-20210302533-A1
F41,H,13.0,75.0,US-20220011422-A1
F41,H,13.0,75.0,US-20220308162-A1
F41,H,13.0,75.0,US-20220316843-A1
F41,H,13.0,75.0,US-20230042110-A1
F41,H,13.0,75.0,US-8373594-B1
F41,H,13.0,75.0,US-8785840-B2
F41,H,13.0,75.0,US-9689976-B2
F41,H,13.0,75.0,US-9715009-B1
