0,1,2,3,4
F41,A,23.0,16.0,US-0064765-A
F41,A,23.0,16.0,US-0203184-A
F41,A,23.0,16.0,US-0271251-A
F41,A,23.0,16.0,US-0800492-A
F41,A,23.0,16.0,US-10040172-B2
F41,A,23.0,16.0,US-1042357-A
F41,A,23.0,16.0,US-10660326-B2
F41,A,23.0,16.0,US-10712140-B2
F41,A,23.0,16.0,US-10724557-B2
F41,A,23.0,16.0,US-1076692-A
F41,A,23.0,16.0,US-10852092-B1
F41,A,23.0,16.0,US-11092414-B2
F41,A,23.0,16.0,US-11543206-B1
F41,A,23.0,16.0,US-11585624-B2
F41,A,23.0,16.0,US-1211130-A
F41,A,23.0,16.0,US-1337359-A
F41,A,23.0,16.0,US-1457407-A
F41,A,23.0,16.0,US-20030079395-A1
F41,A,23.0,16.0,US-20030205599-A1
F41,A,23.0,16.0,US-20050000141-A1
F41,A,23.0,16.0,US-20200056857-A1
F41,A,23.0,16.0,US-20200054001-A1
F41,A,23.0,16.0,US-20190390693-A1
F41,A,23.0,16.0,US-20190219353-A1
F41,A,23.0,16.0,US-20180280779-A1
F41,A,23.0,16.0,US-20180259311-A1
F41,A,23.0,16.0,US-20170363382-A1
F41,A,23.0,16.0,US-20170102203-A1
F41,A,23.0,16.0,US-20160290762-A1
F41,A,23.0,16.0,US-20160273865-A1
F41,A,23.0,16.0,US-20160054091-A1
F41,A,23.0,16.0,US-20160003571-A1
F41,A,23.0,16.0,US-3041938-A
F41,A,23.0,16.0,US-2817233-A
F41,A,23.0,16.0,US-4026057-A
F41,A,23.0,16.0,US-4012860-A
F41,A,23.0,16.0,US-4819359-A
F41,A,23.0,16.0,US-4799324-A
F41,A,23.0,16.0,US-4621563-A
F41,A,23.0,16.0,US-4558532-A
F41,A,23.0,16.0,US-4558531-A
F41,A,23.0,16.0,US-4409826-A
F41,A,23.0,16.0,US-4333385-A
F41,A,23.0,16.0,US-5070636-A
F41,A,23.0,16.0,US-5056410-A
F41,A,23.0,16.0,US-4972619-A
F41,A,23.0,16.0,US-4924616-A
F41,A,23.0,16.0,US-7774972-B2
F41,A,23.0,16.0,US-7761181-B2
F41,A,23.0,16.0,US-7730824-B1
F41,A,23.0,16.0,US-7658140-B2
F41,A,23.0,16.0,US-7587854-B2
F41,A,23.0,16.0,US-6042080-A
F41,A,23.0,16.0,US-5937561-A
F41,A,23.0,16.0,US-5933999-A
F41,A,23.0,16.0,US-5913668-A
F41,A,23.0,16.0,US-5761954-A
F41,A,23.0,16.0,US-5703317-A
F41,A,23.0,16.0,US-5661919-A
F41,A,23.0,16.0,US-5617666-A
F41,A,23.0,16.0,US-5419233-A
F41,A,23.0,16.0,US-5414949-A
F41,A,23.0,16.0,US-5149900-A
F41,A,23.0,16.0,US-5081783-A
F41,A,23.0,16.0,US-7549247-B1
F41,A,23.0,16.0,US-7406794-B1
F41,A,23.0,16.0,US-7356960-B1
F41,A,23.0,16.0,US-7086192-B2
F41,A,23.0,16.0,US-6877266-B1
F41,A,23.0,16.0,US-6860055-B1
F41,A,23.0,16.0,US-6860054-B1
F41,A,23.0,16.0,US-6546662-B1
F41,A,23.0,16.0,US-6526687-B1
F41,A,23.0,16.0,US-6378235-B1
F41,A,23.0,16.0,US-20050115137-A1
F41,A,23.0,16.0,US-20070068379-A1
F41,A,23.0,16.0,US-20070074439-A2
F41,A,23.0,16.0,US-20070121688-A1
F41,A,23.0,16.0,US-20080047189-A1
F41,A,23.0,16.0,US-20080134555-A1
F41,A,23.0,16.0,US-20080163534-A1
F41,A,23.0,16.0,US-20080168697-A1
F41,A,23.0,16.0,US-20090188146-A1
F41,A,23.0,16.0,US-20090194367-A1
F41,A,23.0,16.0,US-20100154277-A1
F41,A,23.0,16.0,US-20100170128-A1
F41,A,23.0,16.0,US-20100301184-A1
F41,A,23.0,16.0,US-20110010980-A1
F41,A,23.0,16.0,US-20110048124-A1
F41,A,23.0,16.0,US-20110192069-A1
F41,A,23.0,16.0,US-20120011759-A1
F41,A,23.0,16.0,US-20120085876-A1
F41,A,23.0,16.0,US-20120174461-A1
F41,A,23.0,16.0,US-20130086835-A1
F41,A,23.0,16.0,US-20140215888-A1
F41,A,23.0,16.0,US-20140215889-A1
F41,A,23.0,16.0,US-20140237882-A1
F41,A,23.0,16.0,US-20200103197-A1
F41,A,23.0,16.0,US-20200240739-A1
F41,A,23.0,16.0,US-20210048282-A1
F41,A,23.0,16.0,US-20220248662-A1
F41,A,23.0,16.0,US-20220404113-A1
F41,A,23.0,16.0,US-3070892-A
F41,A,23.0,16.0,US-3225656-A
F41,A,23.0,16.0,US-3358504-A
F41,A,23.0,16.0,US-3805608-A
F41,A,23.0,16.0,US-4841839-A
F41,A,23.0,16.0,US-7823317-B2
F41,A,23.0,16.0,US-7874092-B2
F41,A,23.0,16.0,US-7886474-B2
F41,A,23.0,16.0,US-8011129-B2
F41,A,23.0,16.0,US-8083198-B2
F41,A,23.0,16.0,US-8109028-B2
F41,A,23.0,16.0,US-8123180-B2
F41,A,23.0,16.0,US-8132351-B2
F41,A,23.0,16.0,US-8251330-B2
F41,A,23.0,16.0,US-8276306-B2
F41,A,23.0,16.0,US-8356442-B2
F41,A,23.0,16.0,US-8474170-B2
F41,A,23.0,16.0,US-8813407-B1
F41,A,23.0,16.0,US-8905391-B2
F41,A,23.0,16.0,US-9341427-B2
F41,A,23.0,16.0,US-9683810-B2
F41,A,23.0,16.0,US-9702653-B2
