0,1,2,3,4
F41,F,3.0,48.0,US-1611431-A
F41,F,3.0,48.0,US-2945421-A
F41,F,3.0,48.0,US-2945420-A
F41,F,3.0,48.0,US-2938430-A
F41,F,3.0,48.0,US-2775163-A
F41,F,3.0,48.0,US-4406210-A
F41,F,3.0,48.0,US-4403435-A
F41,F,3.0,48.0,US-4307651-A
F41,F,3.0,48.0,US-5067386-A
F41,F,3.0,48.0,US-4947729-A
F41,F,3.0,48.0,US-5171931-A
F41,F,3.0,48.0,US-5115709-A
F41,F,3.0,48.0,US-5115708-A
F41,F,3.0,48.0,US-2406089-A
F41,F,3.0,48.0,US-3084598-A
F41,F,3.0,48.0,US-3106162-A
F41,F,3.0,48.0,US-3185037-A
F41,F,3.0,48.0,US-3547031-A
F41,F,3.0,48.0,US-3548707-A
F41,F,3.0,48.0,US-3554078-A
F41,F,3.0,48.0,US-3561362-A
F41,F,3.0,48.0,US-3738044-A
F41,F,3.0,48.0,US-3779128-A
F41,F,3.0,48.0,US-3857320-A
F41,F,3.0,48.0,US-3899953-A
F41,F,3.0,48.0,US-4841657-A
