,guid,safe,security,secure,safety,keyword
167,US-0013293-A,0,0,3,0,
168,US-0013294-A,0,0,0,0,
169,US-0013442-A,0,0,0,0,
170,US-0013474-A,0,0,0,0,
171,US-0013507-A,0,0,0,0,
172,US-0013581-A,0,0,0,0,
173,US-0013582-A,0,0,0,0,
174,US-0013592-A,0,0,0,0,
175,US-0013660-A,0,0,1,0,
176,US-0013691-A,0,0,0,0,
177,US-0013825-A,0,0,0,0,
178,US-0013851-A,0,0,0,0,
179,US-0013927-A,0,0,0,0,
180,US-0013941-A,0,0,1,0,
181,US-0013999-A,0,0,0,0,
182,US-0014001-A,0,0,0,0,
183,US-0014017-A,0,0,1,0,
184,US-0014034-A,0,0,0,0,
185,US-0014057-A,0,0,0,0,
186,US-0014077-A,0,0,0,2,
187,US-0014095-A,0,0,0,0,
188,US-0014118-A,0,0,0,0,
189,US-0014215-A,0,0,0,0,
190,US-0014253-A,0,0,0,0,
191,US-0014319-A,0,0,0,0,
192,US-0014406-A,0,1,0,2,
193,US-0014420-A,0,0,0,1,
194,US-0014488-A,0,0,0,0,
195,US-0014491-A,0,0,0,0,
196,US-0014513-A,0,0,0,0,
197,US-0014554-A,0,0,0,0,
198,US-0014597-A,0,0,1,0,
199,US-0014667-A,0,0,0,0,
200,US-0014710-A,0,0,1,0,
201,US-0014774-A,0,0,0,0,
202,US-0014780-A,0,0,0,0,
203,US-0014819-A,0,0,0,0,
204,US-0014820-A,0,0,0,0,
205,US-0014850-A,0,0,0,0,
206,US-0014905-A,0,0,0,0,
207,US-0014949-A,0,0,0,0,
208,US-0015032-A,0,0,0,0,
209,US-0015041-A,0,0,0,0,
210,US-0015072-A,0,0,0,0,
211,US-0015110-A,0,0,0,0,
212,US-0015167-A,0,0,0,0,
213,US-0015202-A,0,0,0,0,
214,US-0015240-A,0,0,0,0,
215,US-0015244-A,0,0,0,0,
216,US-0015262-A,0,0,0,0,
217,US-0015292-A,0,0,0,0,
218,US-0015307-A,0,0,1,0,
219,US-0015315-A,0,0,2,0,
220,US-0015347-A,0,0,1,0,
221,US-0015357-A,0,0,0,0,
222,US-0015388-A,0,0,0,0,
223,US-0015397-A,1,0,0,0,
224,US-0015496-A,0,0,0,0,
225,US-0015516-A,0,0,0,0,
226,US-0015521-A,0,0,0,0,
227,US-0015522-A,0,0,0,0,
228,US-0015682-A,0,0,0,0,
229,US-0015734-A,0,0,0,0,
230,US-0015797-A,0,0,1,0,
231,US-0015925-A,0,0,0,0,
232,US-0015990-A,0,0,0,0,
233,US-0015995-A,1,0,1,0,
234,US-0016070-A,0,0,0,0,
235,US-0016072-A,0,0,1,0,
236,US-0016124-A,0,1,0,0,
237,US-0016288-A,0,0,2,0,
238,US-0016367-A,0,0,0,0,
239,US-0016377-A,0,0,0,0,
240,US-0016411-A,0,0,0,0,
241,US-0016477-A,0,0,0,0,
242,US-0016503-A,0,0,2,0,
243,US-0016568-A,0,0,0,0,
244,US-0016571-A,0,0,0,0,
245,US-0016575-A,0,0,0,0,
246,US-0016634-A,0,0,0,0,
247,US-0016683-A,0,0,0,0,
248,US-0016716-A,0,0,0,0,
249,US-0016761-A,0,0,0,0,
250,US-0016797-A,0,0,0,0,
251,US-0016846-A,0,0,0,0,
252,US-0016860-A,0,0,1,0,
253,US-0017032-A,0,0,0,0,
254,US-0017044-A,0,0,0,0,
255,US-0017136-A,0,1,0,0,
256,US-0017143-A,0,0,0,0,
257,US-0017233-A,0,0,0,0,
258,US-0017359-A,0,0,0,0,
259,US-0017382-A,0,0,0,0,
260,US-0017386-A,0,0,0,0,
261,US-0017642-A,0,0,0,0,
262,US-0017644-A,0,0,1,0,
263,US-0017698-A,0,0,0,0,
264,US-0017733-A,0,0,0,0,
265,US-0017904-A,0,0,0,0,
266,US-0017915-A,0,0,1,0,
267,US-0017920-A,0,0,0,0,
268,US-0018387-A,0,0,0,0,
269,US-0018418-A,1,1,0,0,
270,US-0018472-A,0,0,3,0,
271,US-0018486-A,0,0,0,0,
272,US-0018634-A,0,0,1,0,
273,US-0018678-A,0,0,0,0,
274,US-0018836-A,0,0,0,0,
275,US-0018876-A,0,0,0,0,
276,US-0019068-A,0,0,0,0,
277,US-0019121-A,0,0,0,0,
278,US-0019213-A,0,0,0,0,
279,US-0019327-A,0,0,0,0,
280,US-0019328-A,1,0,0,0,
281,US-0019387-A,0,0,2,0,
282,US-0019553-A,0,0,0,0,
283,US-0019674-A,0,0,0,0,
284,US-0019739-A,0,0,0,1,
285,US-0019868-A,0,0,0,0,
286,US-0019961-A,0,0,0,0,
287,US-0020041-A,0,0,0,0,
288,US-0020073-A,0,0,0,0,
289,US-0020144-A,0,0,0,0,
290,US-0020160-A,0,0,0,0,
291,US-0020218-A,0,0,0,0,
292,US-0020229-A,0,0,0,0,
293,US-0020315-A,0,0,0,0,
294,US-0020496-A,0,0,0,0,
295,US-0020503-A,0,0,0,0,
296,US-0020597-A,0,1,1,0,
297,US-0020607-A,0,0,0,0,
298,US-0020608-A,0,0,0,0,
299,US-0020757-A,0,0,0,0,
300,US-0020765-A,0,0,0,0,
301,US-0020776-A,0,0,0,0,
302,US-0020825-A,0,0,0,0,
303,US-0020954-A,0,0,0,0,
304,US-0021054-A,0,0,0,0,
305,US-0021149-A,0,0,1,0,
306,US-0021188-A,1,0,0,0,
307,US-0021215-A,0,0,0,0,
308,US-0021400-A,0,0,0,0,
309,US-0021523-A,0,0,0,0,
310,US-0021623-A,0,0,1,0,
311,US-0021730-A,0,0,0,0,
312,US-0021802-A,0,0,0,0,
313,US-0022005-A,0,0,0,0,
314,US-0022094-A,0,0,0,0,
315,US-0022299-A,0,0,0,0,
316,US-0022325-A,1,0,0,0,
317,US-0022348-A,0,0,0,0,
318,US-0022377-A,0,0,1,0,
319,US-0022412-A,0,0,0,0,
320,US-0022427-A,0,0,0,0,
321,US-0022472-A,0,0,0,0,
322,US-0022511-A,0,0,0,0,
323,US-0022618-A,0,0,0,0,
324,US-0022626-A,0,0,1,0,
325,US-0022627-A,0,0,0,0,
326,US-0022666-A,0,0,0,0,
327,US-0022752-A,0,0,1,0,
328,US-0022753-A,0,0,0,0,
329,US-0022881-A,0,0,1,0,
330,US-0022905-A,0,0,0,0,
331,US-0022940-A,0,0,0,0,
332,US-0022958-A,0,0,0,0,
333,US-0022969-A,0,0,0,0,
334,US-0023087-A,0,0,0,1,
335,US-0023223-A,0,0,0,0,
336,US-0023224-A,0,0,0,0,
337,US-0023226-A,0,0,0,0,
338,US-0023241-A,1,0,0,0,
339,US-0023258-A,0,0,0,0,
340,US-0023306-A,0,0,0,0,
341,US-0023378-A,0,0,0,0,
342,US-0023505-A,1,0,1,1,
343,US-0023545-A,0,0,0,0,
344,US-0023590-A,0,0,1,0,
345,US-0023711-A,0,0,0,0,
346,US-0023762-A,0,0,0,0,
347,US-0023861-A,0,0,1,0,
348,US-0023918-A,0,0,0,0,
349,US-0023952-A,1,0,0,0,
350,US-0023979-A,0,0,0,0,
351,US-0024228-A,0,0,0,0,
352,US-0024274-A,0,0,1,0,
353,US-0024312-A,0,0,0,0,
354,US-0024313-A,0,0,0,0,
355,US-0024372-A,0,0,0,0,
356,US-0024394-A,0,1,0,0,
357,US-0024414-A,0,0,0,0,
358,US-0024437-A,0,0,1,0,
359,US-0024518-A,0,0,0,0,
360,US-0024573-A,0,0,0,0,
361,US-0024666-A,0,0,1,0,
362,US-0024726-A,0,0,0,0,
363,US-0024730-A,1,0,0,0,
364,US-0024768-A,0,0,0,0,
365,US-0024774-A,0,0,0,1,
366,US-0024936-A,0,0,0,0,
367,US-0024942-A,0,0,0,0,
368,US-0025244-A,0,0,0,0,
369,US-0025259-A,0,0,2,0,
370,US-0025389-A,0,0,0,0,
371,US-0025470-A,0,0,1,0,
372,US-0025661-A,0,0,0,0,
373,US-0025663-A,0,0,0,0,
374,US-0025664-A,0,0,0,0,
375,US-0025806-A,0,0,0,0,
376,US-0025926-A,0,0,0,0,
377,US-0025929-A,0,0,0,0,
378,US-0026076-A,0,0,0,0,
379,US-0026124-A,0,0,0,0,
380,US-0026256-A,0,0,0,0,
381,US-0026269-A,0,0,0,0,
382,US-0026362-A,0,0,0,0,
383,US-0026364-A,0,0,1,0,
384,US-0026475-A,0,0,1,0,
385,US-0026504-A,0,0,0,0,
386,US-0026526-A,0,0,0,0,
387,US-0026538-A,0,0,0,0,
388,US-0026641-A,0,0,1,1,
389,US-0026646-A,0,0,0,0,
390,US-0026734-A,0,0,0,0,
391,US-0026919-A,1,0,0,0,
392,US-0027335-A,0,0,0,0,
393,US-0027342-A,1,1,0,1,
394,US-0027374-A,0,0,0,0,
395,US-0027393-A,0,0,0,0,
396,US-0027399-A,0,0,1,0,
397,US-0027509-A,0,0,2,0,
398,US-0027518-A,0,0,0,0,
399,US-0027526-A,0,0,0,0,
400,US-0027600-A,0,0,0,0,
401,US-0027723-A,0,0,0,0,
402,US-0027778-A,0,0,0,0,
403,US-0027868-A,0,0,0,0,
404,US-0027874-A,0,0,0,0,
405,US-0028109-A,0,0,1,0,
406,US-0028160-A,0,0,1,0,
407,US-0028331-A,0,0,0,0,
408,US-0028433-A,0,0,0,0,
409,US-0028437-A,0,0,7,0,
410,US-0028460-A,0,0,0,0,
411,US-0028461-A,0,0,0,0,
412,US-0028486-A,0,0,0,0,
413,US-0028646-A,0,0,0,0,
414,US-0028677-A,0,0,0,0,
415,US-0028698-A,0,0,0,0,
416,US-0028951-A,0,0,0,0,
417,US-0029126-A,0,0,0,0,
418,US-0029157-A,0,0,1,0,
